Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-12-01 04:00:00,EUR,S&P Global Manufacturing PMI Final,47.2000,49.1000,48.3000
2022-12-01 04:00:00,EUR,S&P Global Manufacturing PMI Final,45.1000,46.7000,46.2000
2022-12-01 04:00:00,EUR,S&P Global Manufacturing PMI Final,46.4000,47.3000,47.1000
2022-12-01 05:00:00,EUR,Unemployment Rate,6.6000,6.6000,6.5000
2022-12-02 02:00:00,EUR,Balance of Trade,8.1000,0.0000,5.3000
2022-12-02 03:00:00,EUR,Industrial Production MoM,-0.9000,0.0000,-2.6000
2022-12-05 04:00:00,EUR,S&P Global Services PMI Final,51.7000,49.4000,49.3000
2022-12-05 04:00:00,EUR,S&P Global Services PMI Final,46.5000,46.4000,46.1000
2022-12-05 04:00:00,EUR,S&P Global Services PMI Final,48.6000,48.6000,48.5000
2022-12-05 05:00:00,EUR,Retail Sales MoM,0.8000,-1.7000,-1.8000
2022-12-06 02:00:00,EUR,Factory Orders MoM,-2.9000,0.1000,0.8000
2022-12-06 03:30:00,EUR,S&P Global Construction PMI,43.8000,0.0000,41.5000
2022-12-07 02:00:00,EUR,Industrial Production MoM,1.1000,-0.6000,-0.1000
2022-12-07 03:00:00,EUR,Balance of Trade,-17.1700,-16.0000,-12.1500
2022-12-07 05:00:00,EUR,Employment Change YoY Final,2.6000,1.7000,1.8000
2022-12-07 05:00:00,EUR,GDP Growth Rate YoY 3rd Est,4.2000,2.1000,2.3000
2022-12-07 05:00:00,EUR,Employment Change QoQ Final,0.3000,0.2000,0.3000
2022-12-07 05:00:00,EUR,GDP Growth Rate QoQ 3rd Est,0.8000,0.2000,0.3000
2022-12-13 02:00:00,EUR,Inflation Rate YoY Final,10.4000,10.0000,10.0000
2022-12-13 02:00:00,EUR,Inflation Rate MoM Final,0.9000,-0.5000,-0.5000
2022-12-13 05:00:00,EUR,ZEW Economic Sentiment Index,-38.7000,-25.7000,-23.6000
2022-12-13 05:00:00,EUR,ZEW Economic Sentiment Index,-36.7000,-26.4000,-23.3000
2022-12-14 05:00:00,EUR,Industrial Production MoM,0.8000,-1.5000,-2.0000
2022-12-15 02:00:00,EUR,Wholesale Prices MoM,-0.6000,0.0000,-0.9000
2022-12-15 02:00:00,EUR,Wholesale Prices YoY,17.4000,0.0000,14.9000
2022-12-15 03:00:00,EUR,Inflation Rate MoM Final,1.0000,0.4000,0.3000
2022-12-15 03:00:00,EUR,Inflation Rate YoY Final,6.2000,6.2000,6.2000
2022-12-15 03:00:00,EUR,Business Confidence,101.0000,100.0000,101.0000
2022-12-15 08:00:00,EUR,ECB Interest Rate Decision,2.0000,2.5000,2.5000
2022-12-15 08:00:00,EUR,Deposit Facility Rate,1.5000,2.0000,2.0000
2022-12-16 03:00:00,EUR,S&P Global Services PMI Flash,49.3000,49.1000,48.1000
2022-12-16 03:00:00,EUR,S&P Global Manufacturing PMI Flash,48.3000,48.2000,48.9000
2022-12-16 03:30:00,EUR,S&P Global Manufacturing PMI Flash,46.2000,46.3000,47.4000
2022-12-16 03:30:00,EUR,S&P Global Services PMI Flash,46.1000,46.3000,49.0000
2022-12-16 04:00:00,EUR,S&P Global Services PMI Flash,48.5000,48.5000,49.1000
2022-12-16 04:00:00,EUR,S&P Global Manufacturing PMI Flash,47.1000,47.1000,47.8000
2022-12-16 05:00:00,EUR,Inflation Rate YoY Final,10.6000,10.0000,10.1000
2022-12-16 05:00:00,EUR,Balance of Trade,-34.4000,0.0000,-26.5000
2022-12-19 04:00:00,EUR,Ifo Business Climate,86.4000,87.4000,88.6000
2022-12-19 05:00:00,EUR,Construction Output YoY,0.9000,0.0000,2.2000
2022-12-20 02:00:00,EUR,PPI MoM,-4.2000,-2.5000,-3.9000
2022-12-20 10:00:00,EUR,Consumer Confidence Flash,-23.9000,-22.0000,-22.2000
2022-12-21 02:00:00,EUR,GfK Consumer Confidence,-40.1000,-38.0000,-37.8000
2022-12-27 06:00:00,EUR,Unemployment Benefit Claims,-30.7000,0.0000,-64.7000
2023-01-02 04:00:00,EUR,S&P Global Manufacturing PMI Final,48.3000,48.9000,49.2000
2023-01-02 04:00:00,EUR,S&P Global Manufacturing PMI Final,46.2000,47.4000,47.1000
2023-01-02 04:00:00,EUR,S&P Global Manufacturing PMI Final,47.1000,47.8000,47.8000
2023-01-03 04:00:00,EUR,Unemployment Rate,5.5000,5.6000,5.5000
2023-01-03 04:00:00,EUR,Unemployment Change,15.0000,15.0000,-13.0000
2023-01-03 04:00:00,EUR,Unemployed Persons,2.5330,0.0000,2.5200
2023-01-03 08:00:00,EUR,Inflation Rate MoM Prel,-0.5000,-0.3000,-0.8000
2023-01-03 08:00:00,EUR,Inflation Rate YoY Prel,10.0000,9.1000,8.6000
2023-01-04 02:00:00,EUR,Unemployment Rate Harmonised,3.0000,0.0000,0.0000
2023-01-04 03:00:00,EUR,Inflation Rate YoY Prel,6.2000,6.4000,5.9000
2023-01-04 03:00:00,EUR,Consumer Confidence,83.0000,84.0000,82.0000
2023-01-04 03:00:00,EUR,Inflation Rate MoM Prel,0.3000,0.4000,-0.1000
2023-01-04 04:00:00,EUR,S&P Global Services PMI Final,49.3000,48.1000,49.5000
2023-01-04 04:00:00,EUR,S&P Global Services PMI Final,46.1000,49.0000,49.2000
2023-01-04 04:00:00,EUR,S&P Global Services PMI Final,48.5000,49.1000,49.8000
2023-01-05 02:00:00,EUR,Balance of Trade,5.2000,0.0000,11.1000
2023-01-05 03:30:00,EUR,S&P Global Construction PMI,41.5000,0.0000,41.7000
2023-01-06 02:00:00,EUR,Retail Sales MoM,-2.8000,1.0000,1.1000
2023-01-06 02:00:00,EUR,Retail Sales YoY,-5.0000,0.0000,-5.9000
2023-01-06 02:00:00,EUR,Factory Orders MoM,0.6000,-0.5000,-5.3000
2023-01-06 05:00:00,EUR,Retail Sales YoY,-2.6000,-3.3000,-2.8000
2023-01-06 05:00:00,EUR,Economic Sentiment,94.0000,94.7000,95.8000
2023-01-06 05:00:00,EUR,Inflation Rate YoY Flash,10.1000,9.7000,9.2000
2023-01-06 05:00:00,EUR,Inflation Rate MoM Flash,-0.1000,0.0000,-0.3000
2023-01-06 05:00:00,EUR,Core Inflation Rate YoY Flash,5.0000,5.0000,5.2000
2023-01-06 05:00:00,EUR,Retail Sales MoM,-1.5000,0.5000,0.8000
2023-01-09 02:00:00,EUR,Industrial Production MoM,-0.4000,0.1000,0.2000
2023-01-09 03:00:00,EUR,Balance of Trade,-11.5900,0.0000,-13.7700
2023-01-09 05:00:00,EUR,Unemployment Rate,6.5000,6.5000,6.5000
2023-01-10 03:00:00,EUR,Industrial Production MoM,-2.5000,0.8000,2.0000
2023-01-11 05:30:00,EUR,10-Year Bund Auction,1.9500,0.0000,2.2500
2023-01-13 03:00:00,EUR,Inflation Rate MoM Final,0.3000,-0.1000,-0.1000
2023-01-13 03:00:00,EUR,Inflation Rate YoY Final,6.2000,5.9000,5.9000
2023-01-13 04:00:00,EUR,Full Year GDP Growth,2.6000,1.8000,1.9000
2023-01-13 05:00:00,EUR,Industrial Production MoM,-1.9000,0.5000,1.0000
2023-01-13 05:00:00,EUR,Balance of Trade,-26.5000,-21.1000,-11.7000
2023-01-16 02:00:00,EUR,Wholesale Prices MoM,-0.9000,0.0000,-1.6000
2023-01-16 02:00:00,EUR,Wholesale Prices YoY,14.9000,0.0000,12.8000
2023-01-17 02:00:00,EUR,Inflation Rate MoM Final,-0.5000,-0.8000,-0.8000
2023-01-17 02:00:00,EUR,Inflation Rate YoY Final,10.0000,8.6000,8.6000
2023-01-17 05:00:00,EUR,ZEW Economic Sentiment Index,-23.6000,0.0000,16.7000
2023-01-17 05:00:00,EUR,ZEW Economic Sentiment Index,-23.3000,-15.0000,16.9000
2023-01-18 05:00:00,EUR,Inflation Rate YoY Final,10.1000,9.2000,9.2000
2023-01-20 02:00:00,EUR,PPI MoM,-3.9000,-1.2000,-0.4000
